lang,id,text,created_at,edit_history_tweet_ids,author_id
ko,1650959654590222336,"RT @puddiddding: 동대구역 사파키친
대구에서 가본 베트남 음식점 중에 최고...
분짜 팟타이 칠리치킨 전부 존맛이어따 https://t.co/A7OvzQKGKD",2023-04-25T20:27:09.000Z,['1650959654590222336'],1580248365941788672
ko,1649742381779148800,RT @kiMcFIZZ: 베트남 사파 로컬 꼬치구이... 맥주를 부르는 맛! 꼬치 하나에 1천원! 캔맥주는 한 개에 450원!(마트에서 판매 가격) https://t.co/hk3n3RB9Yy,2023-04-22T11:50:09.000Z,['1649742381779148800'],1431552999311036417
ko,1649731481630289921,"RT @r_dandan_28: #세븐틴 #10thMiniAlbum #FML

열심히 한 만큼 대박나자🙏🏻🙏🏻🙏🏻
베트남 사파 in Fansipan Mountain https://t.co/ybmZAoLN1I",2023-04-22T11:06:50.000Z,['1649731481630289921'],1441407089994186753
ko,1649701613848924162,"#세븐틴 #10thMiniAlbum #FML

열심히 한 만큼 대박나자🙏🏻🙏🏻🙏🏻
베트남 사파 in Fansipan Mountain https://t.co/ybmZAoLN1I",2023-04-22T09:08:09.000Z,['1649701613848924162'],1543757036189786112
